date,Date,Count
Calvert County,04-01-2023,321
Caroline County,07-01-2020,19
Caroline County,08-01-2020,19
Caroline County,09-01-2020,19
Caroline County,10-01-2020,22
Caroline County,11-01-2020,22
Caroline County,12-01-2020,24
Caroline County,01-01-2021,25
Caroline County,02-01-2021,26
Caroline County,03-01-2021,27
Caroline County,04-01-2021,26
Caroline County,05-01-2021,28
Caroline County,06-01-2021,32
Caroline County,07-01-2021,34
Caroline County,08-01-2021,34
Caroline County,09-01-2021,35
Caroline County,10-01-2021,38
Caroline County,11-01-2021,40
Caroline County,12-01-2021,39
Caroline County,01-01-2022,39
Caroline County,02-01-2022,51
Caroline County,03-01-2022,52
Caroline County,04-01-2022,48
Caroline County,05-01-2022,51
Caroline County,06-01-2022,54
Caroline County,07-01-2022,55
Caroline County,08-01-2022,54
Caroline County,09-01-2022,55
Caroline County,10-01-2022,55
Caroline County,11-01-2022,56
Caroline County,12-01-2022,58
Caroline County,01-01-2023,59
Caroline County,02-01-2023,62
Caroline County,03-01-2023,62
Caroline County,04-01-2023,64
Carroll County,07-01-2020,231
Carroll County,08-01-2020,235
Carroll County,09-01-2020,240
Carroll County,10-01-2020,243
Carroll County,11-01-2020,252
Carroll County,12-01-2020,255
Carroll County,01-01-2021,262
Carroll County,02-01-2021,268
Carroll County,03-01-2021,275
Carroll County,04-01-2021,281
Carroll County,05-01-2021,295
Carroll County,06-01-2021,314
Carroll County,07-01-2021,320
Carroll County,08-01-2021,339
Carroll County,09-01-2021,341
Carroll County,10-01-2021,356
Carroll County,11-01-2021,364
Carroll County,12-01-2021,368
Carroll County,01-01-2022,371
Carroll County,02-01-2022,378
Carroll County,03-01-2022,386
Carroll County,04-01-2022,402
Carroll County,05-01-2022,411
Carroll County,06-01-2022,419
Carroll County,07-01-2022,430
Carroll County,08-01-2022,440
Carroll County,09-01-2022,446
Carroll County,10-01-2022,456
Carroll County,11-01-2022,473
Carroll County,12-01-2022,479
Carroll County,01-01-2023,490
Carroll County,02-01-2023,498
Carroll County,03-01-2023,508
Carroll County,04-01-2023,510
Cecil County,07-01-2020,74
Cecil County,08-01-2020,75
Cecil County,09-01-2020,76
Cecil County,10-01-2020,79
Cecil County,11-01-2020,85
Cecil County,12-01-2020,83
Cecil County,01-01-2021,85
Cecil County,02-01-2021,86
Cecil County,03-01-2021,87
Cecil County,04-01-2021,89
Cecil County,05-01-2021,94
Cecil County,06-01-2021,96
Cecil County,07-01-2021,97
Cecil County,08-01-2021,105
Cecil County,09-01-2021,107
Cecil County,10-01-2021,108
Cecil County,11-01-2021,114
Cecil County,12-01-2021,118
Cecil County,01-01-2022,126
Cecil County,02-01-2022,126
Cecil County,03-01-2022,135
Cecil County,04-01-2022,136
Cecil County,05-01-2022,137
Cecil County,06-01-2022,142
Cecil County,07-01-2022,146
Cecil County,08-01-2022,144
Cecil County,09-01-2022,146
Cecil County,10-01-2022,150
Cecil County,11-01-2022,152
Cecil County,12-01-2022,157
Cecil County,01-01-2023,160
Cecil County,02-01-2023,160
Cecil County,03-01-2023,162
Cecil County,04-01-2023,166
Charles County,07-01-2020,172
Charles County,08-01-2020,174
Charles County,09-01-2020,176
Charles County,10-01-2020,180
Charles County,11-01-2020,182
Charles County,12-01-2020,185
Charles County,01-01-2021,188
Charles County,02-01-2021,191
Charles County,03-01-2021,201
Charles County,04-01-2021,209
Charles County,05-01-2021,212
Charles County,06-01-2021,220
Charles County,07-01-2021,221
Charles County,08-01-2021,227
Charles County,09-01-2021,229
Charles County,10-01-2021,230
Charles County,11-01-2021,240
Charles County,12-01-2021,239
Charles County,01-01-2022,242
Charles County,02-01-2022,245
Charles County,03-01-2022,246
Charles County,04-01-2022,252
Charles County,05-01-2022,252
Charles County,06-01-2022,253
Charles County,07-01-2022,258
Charles County,08-01-2022,271
Charles County,09-01-2022,272
Charles County,10-01-2022,274
Charles County,11-01-2022,293
Charles County,12-01-2022,298
Charles County,01-01-2023,296
Charles County,02-01-2023,308
Charles County,03-01-2023,311
Charles County,04-01-2023,317
Dorchester County,07-01-2020,26
Dorchester County,08-01-2020,25
Dorchester County,09-01-2020,26
Dorchester County,10-01-2020,24
Dorchester County,11-01-2020,23
Dorchester County,12-01-2020,25
Dorchester County,01-01-2021,24
Dorchester County,02-01-2021,26
Dorchester County,03-01-2021,27
Dorchester County,04-01-2021,26
Dorchester County,05-01-2021,27
Dorchester County,06-01-2021,26
Dorchester County,07-01-2021,28
Dorchester County,08-01-2021,28
Dorchester County,09-01-2021,30
Dorchester County,10-01-2021,32
Dorchester County,11-01-2021,33
Dorchester County,12-01-2021,32
Dorchester County,01-01-2022,33
Dorchester County,02-01-2022,36
Dorchester County,03-01-2022,37
Dorchester County,04-01-2022,36
Dorchester County,05-01-2022,36
Dorchester County,06-01-2022,36
Dorchester County,07-01-2022,37
Dorchester County,08-01-2022,38
Dorchester County,09-01-2022,38
Dorchester County,10-01-2022,36
Dorchester County,11-01-2022,39
Dorchester County,12-01-2022,39
Dorchester County,01-01-2023,39
Dorchester County,02-01-2023,40
Dorchester County,03-01-2023,41
Dorchester County,04-01-2023,44
Frederick County,07-01-2020,700
Frederick County,08-01-2020,704
Frederick County,09-01-2020,703
Frederick County,10-01-2020,710
Frederick County,11-01-2020,733
Frederick County,12-01-2020,738
Frederick County,01-01-2021,751
Frederick County,02-01-2021,757
Frederick County,03-01-2021,765
Frederick County,04-01-2021,779
Frederick County,05-01-2021,801
Frederick County,06-01-2021,831
Frederick County,07-01-2021,849
Frederick County,08-01-2021,865
Frederick County,09-01-2021,887
Frederick County,10-01-2021,906
Frederick County,11-01-2021,927
Frederick County,12-01-2021,946
Frederick County,01-01-2022,956
Frederick County,02-01-2022,983
Frederick County,03-01-2022,1016
Frederick County,04-01-2022,1025
Frederick County,05-01-2022,1048
Frederick County,06-01-2022,1084
Frederick County,07-01-2022,1100
Frederick County,08-01-2022,1121
Frederick County,09-01-2022,1131
Frederick County,10-01-2022,1161
Frederick County,11-01-2022,1203
Frederick County,12-01-2022,1224
Frederick County,01-01-2023,1264
Frederick County,02-01-2023,1284
Frederick County,03-01-2023,1308
Frederick County,04-01-2023,1349
Garrett County,07-01-2020,5
Garrett County,08-01-2020,5
Garrett County,09-01-2020,6
Garrett County,10-01-2020,6
Garrett County,11-01-2020,6
Garrett County,12-01-2020,6
Garrett County,01-01-2021,6
Garrett County,02-01-2021,7
